Dataset id,SDG,BNLogLikelihood,BNLogLikelihood_time,Quality,Original dataset
SD1Q100_9,SD1Q100,-6.373948860971092,0.06913060000000115,Q100,D1
SD1Q10_0,SD1Q10,-11.758462560395207,0.06905259999999913,Q10,D1
SD1Q10_1,SD1Q10,-12.277853431331437,0.06840480000000326,Q10,D1
SD1Q10_2,SD1Q10,-11.88391787623726,0.06331550000000163,Q10,D1
SD1Q10_3,SD1Q10,-11.708519278660116,0.06535780000000102,Q10,D1
SD1Q10_4,SD1Q10,-11.905903792837183,0.06930750000000074,Q10,D1
SD1Q10_5,SD1Q10,-11.735170320059147,0.06562030000000618,Q10,D1
SD1Q10_6,SD1Q10,-11.840048356374933,0.0801046999999997,Q10,D1
SD1Q10_7,SD1Q10,-12.161954577449789,0.06493199999999888,Q10,D1
SD1Q10_8,SD1Q10,-11.889944075703557,0.07101959999999963,Q10,D1
SD1Q10_9,SD1Q10,-11.825829391905673,0.07029310000000066,Q10,D1
SD1Q1500_0,SD1Q1500,-5.890684609230825,0.07734840000000531,Q1500,D1
SD1Q1500_1,SD1Q1500,-5.933674934982749,0.06749870000000158,Q1500,D1
SD1Q1500_2,SD1Q1500,-5.913340971856391,0.06079400000000135,Q1500,D1
SD1Q1500_3,SD1Q1500,-5.689269894724073,0.072712199999998,Q1500,D1
SD1Q1500_4,SD1Q1500,-5.914373696517737,0.06496729999999928,Q1500,D1
SD1Q1500_5,SD1Q1500,-5.882563053546794,0.0703119000000001,Q1500,D1
SD1Q1500_6,SD1Q1500,-5.972227931660269,0.07455680000000342,Q1500,D1
SD1Q1500_7,SD1Q1500,-5.675830304585294,0.07735209999999881,Q1500,D1
SD1Q1500_8,SD1Q1500,-6.0301284677587095,0.06431400000000309,Q1500,D1
SD1Q1500_9,SD1Q1500,-5.812944207286208,0.06551910000000305,Q1500,D1
SD1Q500_0,SD1Q500,-6.898997413157001,0.06640940000000484,Q500,D1
SD1Q500_1,SD1Q500,-7.206364291043034,0.06575259999999616,Q500,D1
SD1Q500_2,SD1Q500,-7.635100608775998,0.06383950000000027,Q500,D1
SD1Q500_3,SD1Q500,-7.000534879373161,0.06734000000000151,Q500,D1
SD1Q500_4,SD1Q500,-7.192264212417516,0.06213549999999657,Q500,D1
SD1Q500_5,SD1Q500,-7.0937068500166625,0.06068620000000635,Q500,D1
SD1Q500_6,SD1Q500,-7.337147500935349,0.07724329999999924,Q500,D1
SD1Q500_7,SD1Q500,-7.337987372985554,0.06022120000000086,Q500,D1
SD1Q500_8,SD1Q500,-7.345226741329852,0.06776819999999617,Q500,D1
SD1Q500_9,SD1Q500,-6.791437007374967,0.06430879999999917,Q500,D1
SD205Q1000_0,SD205Q1000,-10.54165443106588,0.2661736000000019,Q1000,D205
SD205Q1000_1,SD205Q1000,-10.628450478714887,0.2785238000000021,Q1000,D205
SD205Q1000_2,SD205Q1000,-10.586160324008462,0.27584270000000544,Q1000,D205
SD205Q1000_3,SD205Q1000,-10.55733160897397,0.29114979999999946,Q1000,D205
SD205Q1000_4,SD205Q1000,-10.472023173052255,0.26210939999999994,Q1000,D205
SD205Q1000_5,SD205Q1000,-10.488477767490894,0.2805007000000046,Q1000,D205
SD205Q1000_6,SD205Q1000,-10.575642730899885,0.2484099999999998,Q1000,D205
SD205Q1000_7,SD205Q1000,-10.470563861205159,0.2745476999999994,Q1000,D205
SD205Q1000_8,SD205Q1000,-10.578566162552185,0.2783139999999946,Q1000,D205
SD205Q1000_9,SD205Q1000,-10.580210529694748,0.28030760000000043,Q1000,D205
SD205Q100_0,SD205Q100,-11.375248419044095,0.2753954999999948,Q100,D205
SD205Q100_1,SD205Q100,-11.36953730709379,0.2709553999999983,Q100,D205
SD205Q100_2,SD205Q100,-11.368043776015046,0.27730619999999817,Q100,D205
SD205Q100_3,SD205Q100,-11.305803714463444,0.26625059999999934,Q100,D205
SD205Q100_4,SD205Q100,-11.120086137427037,0.26528349999999534,Q100,D205
SD205Q100_5,SD205Q100,-11.309155737006979,0.27253720000000214,Q100,D205
SD205Q100_6,SD205Q100,-11.396904644884621,0.2676614000000015,Q100,D205
SD205Q100_7,SD205Q100,-11.352151092273274,0.2787793999999977,Q100,D205
SD205Q100_8,SD205Q100,-11.321028648997945,0.2742001000000016,Q100,D205
SD205Q100_9,SD205Q100,-11.199192023179588,0.2623578999999978,Q100,D205
SD205Q10_0,SD205Q10,-14.911551236940252,0.25475469999999945,Q10,D205
SD205Q10_1,SD205Q10,-14.912583620339428,0.27224070000000467,Q10,D205
SD205Q10_2,SD205Q10,-14.883027132984871,0.2611674999999991,Q10,D205
SD205Q10_3,SD205Q10,-14.875855623240799,0.2956947999999997,Q10,D205
SD205Q10_4,SD205Q10,-14.873265879493582,0.28669760000000366,Q10,D205
SD205Q10_5,SD205Q10,-14.997961701649219,0.25976440000000167,Q10,D205
SD205Q10_6,SD205Q10,-14.972351641983789,0.2845957999999982,Q10,D205
SD205Q10_7,SD205Q10,-14.936142611996434,0.27415719999999766,Q10,D205
SD205Q10_8,SD205Q10,-14.805500201079846,0.29461879999999496,Q10,D205
SD205Q10_9,SD205Q10,-14.937493036938276,0.279599300000001,Q10,D205
SD205Q1500_0,SD205Q1500,-10.574515961873598,0.28444999999999965,Q1500,D205
SD205Q1500_1,SD205Q1500,-10.644683901622411,0.27943960000000345,Q1500,D205
SD205Q1500_2,SD205Q1500,-10.676019022243626,0.28947219999999874,Q1500,D205
SD205Q1500_3,SD205Q1500,-10.67341793610394,0.292516599999999,Q1500,D205
SD205Q1500_4,SD205Q1500,-10.700761081361383,0.26917470000000066,Q1500,D205
SD205Q1500_5,SD205Q1500,-10.536189649144113,0.2669055,Q1500,D205
SD205Q1500_6,SD205Q1500,-10.639280522767292,0.2977637000000044,Q1500,D205
SD205Q1500_7,SD205Q1500,-10.458026288050306,0.3057666999999995,Q1500,D205
SD205Q1500_8,SD205Q1500,-10.61238424122064,0.29543690000000566,Q1500,D205
SD205Q1500_9,SD205Q1500,-10.669289336823821,0.26270999999999844,Q1500,D205
SD205Q500_0,SD205Q500,-11.151979666234729,0.31067039999999935,Q500,D205
SD205Q500_1,SD205Q500,-11.263861247938983,0.2839226000000039,Q500,D205
SD205Q500_2,SD205Q500,-11.264949219560606,0.26796350000000047,Q500,D205
SD205Q500_3,SD205Q500,-11.246284155519973,0.2878596999999985,Q500,D205
SD205Q500_4,SD205Q500,-11.115556418651886,0.28866959999999864,Q500,D205
SD205Q500_5,SD205Q500,-11.044075308544942,0.2722962999999936,Q500,D205
SD205Q500_6,SD205Q500,-11.103015478465684,0.26946780000000103,Q500,D205
SD205Q500_7,SD205Q500,-11.085621269537311,0.28338269999999,Q500,D205
SD205Q500_8,SD205Q500,-11.071568347531366,0.27947209999999245,Q500,D205
SD205Q500_9,SD205Q500,-11.304119684453287,0.2976424999999949,Q500,D205
SD305Q1000_0,SD305Q1000,-2.30552227313355,0.2146082000000007,Q1000,D305
SD305Q1000_1,SD305Q1000,-2.3067924844586685,0.15448109999999815,Q1000,D305
SD305Q1000_2,SD305Q1000,-2.305195551725275,0.17509640000000104,Q1000,D305
SD305Q1000_3,SD305Q1000,-2.3045501905977748,0.15155520000000422,Q1000,D305
SD305Q1000_4,SD305Q1000,-2.306136119624884,0.17219819999999686,Q1000,D305
SD305Q1000_5,SD305Q1000,-2.307299018867514,0.16077920000000745,Q1000,D305
SD305Q1000_6,SD305Q1000,-2.3072421549028084,0.20297560000000203,Q1000,D305
SD305Q1000_7,SD305Q1000,-2.3071251360239016,0.18468670000000031,Q1000,D305
SD305Q1000_8,SD305Q1000,-2.3057857398415136,0.190781599999994,Q1000,D305
SD305Q1000_9,SD305Q1000,-2.3051386613125184,0.1952475000000078,Q1000,D305
SD305Q100_0,SD305Q100,-2.3021999210992052,0.1776606999999899,Q100,D305
SD305Q100_1,SD305Q100,-2.3027010946081377,0.17874469999999576,Q100,D305
SD305Q100_2,SD305Q100,-2.302976873561315,0.18143560000000036,Q100,D305
SD305Q100_3,SD305Q100,-2.3024550238358956,0.46061269999999865,Q100,D305
SD305Q100_4,SD305Q100,-2.302295372014894,0.2096303000000006,Q100,D305
SD305Q100_5,SD305Q100,-2.3017640907201047,0.2035096999999979,Q100,D305
SD305Q100_6,SD305Q100,-2.3029853189710083,0.17933960000000582,Q100,D305
SD305Q100_7,SD305Q100,-2.302517334995063,0.28665340000000583,Q100,D305
SD305Q100_8,SD305Q100,-2.302273205231978,0.21142159999999421,Q100,D305
SD305Q100_9,SD305Q100,-2.3035682954835037,0.1996822999999921,Q100,D305
SD305Q10_0,SD305Q10,-2.281451074564716,0.19327619999999968,Q10,D305
SD305Q10_1,SD305Q10,-2.282177910870819,0.19261250000000985,Q10,D305
SD305Q10_2,SD305Q10,-2.282457192099485,0.1796829000000031,Q10,D305
SD305Q10_3,SD305Q10,-2.2824406350672115,0.17702090000000226,Q10,D305
SD305Q10_4,SD305Q10,-2.281451074564716,0.162526100000008,Q10,D305
SD305Q10_5,SD305Q10,-2.281451074564716,0.1797289999999947,Q10,D305
SD305Q10_6,SD305Q10,-2.281451074564716,0.1660257999999999,Q10,D305
SD305Q10_7,SD305Q10,-2.2825170493610365,0.19264780000000314,Q10,D305
SD305Q10_8,SD305Q10,-2.282424093567095,0.24510929999999576,Q10,D305
SD305Q10_9,SD305Q10,-2.2822981203365367,0.21326879999999449,Q10,D305
SD305Q1500_0,SD305Q1500,-2.3054759794414488,0.20985290000000134,Q1500,D305
SD305Q1500_1,SD305Q1500,-2.3051457171950362,0.21148690000001125,Q1500,D305
SD305Q1500_2,SD305Q1500,-2.3048308926790995,0.21007839999998623,Q1500,D305
SD305Q1500_3,SD305Q1500,-2.3043065065025488,0.19449519999999154,Q1500,D305
SD305Q1500_4,SD305Q1500,-2.304164258067027,0.21027049999999292,Q1500,D305
SD305Q1500_5,SD305Q1500,-2.303916082847003,0.18365830000000472,Q1500,D305
SD305Q1500_6,SD305Q1500,-2.304207446512421,0.17562800000000323,Q1500,D305
SD305Q1500_7,SD305Q1500,-2.3047338897718275,0.18151129999999682,Q1500,D305
SD305Q1500_8,SD305Q1500,-2.304762619774372,0.16908409999999208,Q1500,D305
SD305Q1500_9,SD305Q1500,-2.305204666017583,0.20502129999999852,Q1500,D305
SD305Q500_0,SD305Q500,-2.2986210315371234,0.2031167000000096,Q500,D305
SD305Q500_1,SD305Q500,-2.2986972108352015,0.1831298999999973,Q500,D305
SD305Q500_2,SD305Q500,-2.2998121728567367,0.27644820000000436,Q500,D305
SD305Q500_3,SD305Q500,-2.2988836868241633,0.18346710000000144,Q500,D305
SD305Q500_4,SD305Q500,-2.299230222416758,0.18030229999999392,Q500,D305
SD305Q500_5,SD305Q500,-2.2982085592869583,0.20424520000000257,Q500,D305
SD305Q500_6,SD305Q500,-2.299187998710869,0.18560039999999844,Q500,D305
SD305Q500_7,SD305Q500,-2.297896474655267,0.17720210000000236,Q500,D305
SD305Q500_8,SD305Q500,-2.2984262074823847,0.16654099999999517,Q500,D305
SD305Q500_9,SD305Q500,-2.298983230308522,0.18888170000001026,Q500,D305
SD405Q1000_0,SD405Q1000,-13.383656911280772,0.3617567999999949,Q1000,D405
SD405Q1000_1,SD405Q1000,-13.250853153947615,0.33035509999999135,Q1000,D405
SD405Q1000_2,SD405Q1000,-13.325455932943346,0.3359445999999906,Q1000,D405
SD405Q1000_3,SD405Q1000,-13.363727103793925,0.360951,Q1000,D405
SD405Q1000_4,SD405Q1000,-13.331565041400562,0.3890808999999962,Q1000,D405
SD405Q1000_5,SD405Q1000,-13.242056734287669,0.390161599999999,Q1000,D405
SD405Q1000_6,SD405Q1000,-13.35445175152977,0.3358091999999999,Q1000,D405
SD405Q1000_7,SD405Q1000,-13.308250624935924,0.33603240000000767,Q1000,D405
SD405Q1000_8,SD405Q1000,-13.30125240974488,0.3209303999999946,Q1000,D405
SD405Q1000_9,SD405Q1000,-13.458753519090294,0.3113896000000125,Q1000,D405
SD405Q100_0,SD405Q100,-15.348176752167749,0.30887319999999363,Q100,D405
SD405Q100_1,SD405Q100,-15.275029931828946,0.3166524000000095,Q100,D405
SD405Q100_2,SD405Q100,-15.24331393648849,0.3208613999999983,Q100,D405
SD405Q100_3,SD405Q100,-15.192831617523028,0.3484708000000012,Q100,D405
SD405Q100_4,SD405Q100,-15.513391169085834,0.33659769999999867,Q100,D405
SD405Q100_5,SD405Q100,-15.346952056654898,0.3140830999999906,Q100,D405
SD405Q100_6,SD405Q100,-15.349824174937897,0.32037369999999044,Q100,D405
SD405Q100_7,SD405Q100,-15.33644331559451,0.3304127999999906,Q100,D405
SD405Q100_8,SD405Q100,-15.413261322521647,0.31617459999999653,Q100,D405
SD405Q100_9,SD405Q100,-15.671958181233304,0.32401559999999563,Q100,D405
SD405Q10_0,SD405Q10,-18.428546765517204,0.3130749000000037,Q10,D405
SD405Q10_1,SD405Q10,-18.435057742592523,0.31805659999999136,Q10,D405
SD405Q10_2,SD405Q10,-18.45520816134031,0.3198758000000055,Q10,D405
SD405Q10_3,SD405Q10,-18.396539841060218,0.40908139999999094,Q10,D405
SD405Q10_4,SD405Q10,-18.420253782849546,0.3236320000000035,Q10,D405
SD405Q10_5,SD405Q10,-18.435057753395466,0.32019889999999407,Q10,D405
SD405Q10_6,SD405Q10,-18.445303861642707,0.29362539999999626,Q10,D405
SD405Q10_7,SD405Q10,-18.42733449027327,0.31063599999998814,Q10,D405
SD405Q10_8,SD405Q10,-18.43347638939878,0.3068585999999982,Q10,D405
SD405Q10_9,SD405Q10,-18.44744769558205,0.32272779999999557,Q10,D405
SD405Q1500_0,SD405Q1500,-12.56124858490322,0.3117897999999997,Q1500,D405
SD405Q1500_1,SD405Q1500,-12.399162597456048,0.3294214000000011,Q1500,D405
SD405Q1500_2,SD405Q1500,-12.580409294788026,0.376473500000003,Q1500,D405
SD405Q1500_3,SD405Q1500,-12.579015970049097,0.35639340000000175,Q1500,D405
SD405Q1500_4,SD405Q1500,-12.485200003589421,0.3539147999999983,Q1500,D405
SD405Q1500_5,SD405Q1500,-12.539618953035964,0.3506435000000039,Q1500,D405
SD405Q1500_6,SD405Q1500,-12.446783350006704,0.35414939999999717,Q1500,D405
SD405Q1500_7,SD405Q1500,-12.495697392696366,0.3407361000000009,Q1500,D405
SD405Q1500_8,SD405Q1500,-12.474436315216971,0.3524214999999913,Q1500,D405
SD405Q1500_9,SD405Q1500,-12.587083004606331,0.3374748999999895,Q1500,D405
SD405Q500_0,SD405Q500,-15.656223532477016,0.31546740000000284,Q500,D405
SD405Q500_1,SD405Q500,-15.837098503686178,0.3215895999999958,Q500,D405
SD405Q500_2,SD405Q500,-15.839285079760746,0.3181971000000061,Q500,D405
SD405Q500_3,SD405Q500,-15.856936966526614,0.3272000000000048,Q500,D405
SD405Q500_4,SD405Q500,-15.768388341878508,0.3316133000000008,Q500,D405
SD405Q500_5,SD405Q500,-15.853379178522271,0.3278224000000023,Q500,D405
SD405Q500_6,SD405Q500,-15.855556869599809,0.3408992999999896,Q500,D405
SD405Q500_7,SD405Q500,-15.843029345608663,0.35407329999999604,Q500,D405
SD405Q500_8,SD405Q500,-15.862393045918967,0.3835610999999943,Q500,D405
SD405Q500_9,SD405Q500,-15.813215761742782,0.38318710000000067,Q500,D405
