Dataset id,SDG,DiscreteKLDivergence,DiscreteKLDivergence_time,Quality,Original dataset
SD1Q500_6,SD1Q500,0.8167125670938787,0.023344399999999155,Q500,D1
SD1Q500_7,SD1Q500,0.8227542231377584,0.02250259999999571,Q500,D1
SD1Q500_8,SD1Q500,0.81485280455555,0.0246651000000071,Q500,D1
SD1Q500_9,SD1Q500,0.8256153899881997,0.02062410000000625,Q500,D1
SD205Q1000_0,SD205Q1000,0.9412796127947444,0.1638821999999891,Q1000,D205
SD205Q1000_1,SD205Q1000,0.9386436061650633,0.16383470000000955,Q1000,D205
SD205Q1000_2,SD205Q1000,0.9377203898287487,0.17209860000001242,Q1000,D205
SD205Q1000_3,SD205Q1000,0.9405249429901669,0.15963680000000124,Q1000,D205
SD205Q1000_4,SD205Q1000,0.9380551498377612,0.16744549999999947,Q1000,D205
SD205Q1000_5,SD205Q1000,0.9385181510930687,0.16723249999999723,Q1000,D205
SD205Q1000_6,SD205Q1000,0.9391822252180577,0.16786570000000722,Q1000,D205
SD205Q1000_7,SD205Q1000,0.9371647848198486,0.17725690000000327,Q1000,D205
SD205Q1000_8,SD205Q1000,0.9381037149851039,0.17585839999999564,Q1000,D205
SD205Q1000_9,SD205Q1000,0.9403380218504149,0.16884780000000887,Q1000,D205
SD205Q100_0,SD205Q100,0.9334576130281211,0.15999170000000618,Q100,D205
SD205Q100_1,SD205Q100,0.932427254345073,0.1754853000000054,Q100,D205
SD205Q100_2,SD205Q100,0.9332230754446909,0.17916820000000655,Q100,D205
SD205Q100_3,SD205Q100,0.9347931024176166,0.15992230000000518,Q100,D205
SD205Q100_4,SD205Q100,0.9377873501047163,0.1583925999999991,Q100,D205
SD205Q100_5,SD205Q100,0.934374030975614,0.16860289999999623,Q100,D205
SD205Q100_6,SD205Q100,0.9357207554590469,0.1668256000000099,Q100,D205
SD205Q100_7,SD205Q100,0.9336012621183599,0.16403760000000034,Q100,D205
SD205Q100_8,SD205Q100,0.9319107539102659,0.16555160000000058,Q100,D205
SD205Q100_9,SD205Q100,0.9371333551143984,0.17655419999999822,Q100,D205
SD205Q10_0,SD205Q10,0.7238213072844257,0.17747719999999845,Q10,D205
SD205Q10_1,SD205Q10,0.7204216497158356,0.167469600000004,Q10,D205
SD205Q10_2,SD205Q10,0.7124968415317767,0.1726373000000052,Q10,D205
SD205Q10_3,SD205Q10,0.7164016112275877,0.18553370000000768,Q10,D205
SD205Q10_4,SD205Q10,0.7130802609988431,0.15977359999999408,Q10,D205
SD205Q10_5,SD205Q10,0.7162506058929126,0.1740514000000104,Q10,D205
SD205Q10_6,SD205Q10,0.7181428043737684,0.16401019999999278,Q10,D205
SD205Q10_7,SD205Q10,0.71799505459204,0.19028870000001064,Q10,D205
SD205Q10_8,SD205Q10,0.7243295154747638,0.18780209999999897,Q10,D205
SD205Q10_9,SD205Q10,0.7202611555362103,0.1700086999999968,Q10,D205
SD205Q1500_0,SD205Q1500,0.9174685063521426,0.1661880999999994,Q1500,D205
SD205Q1500_1,SD205Q1500,0.9161759079094488,0.15849029999999686,Q1500,D205
SD205Q1500_2,SD205Q1500,0.9129353500945023,0.16614989999999352,Q1500,D205
SD205Q1500_3,SD205Q1500,0.916809422573702,0.2010530000000017,Q1500,D205
SD205Q1500_4,SD205Q1500,0.9172273726268358,0.1765168000000017,Q1500,D205
SD205Q1500_5,SD205Q1500,0.9237084203230045,0.18229900000000043,Q1500,D205
SD205Q1500_6,SD205Q1500,0.9164464673871334,0.16750030000000038,Q1500,D205
SD205Q1500_7,SD205Q1500,0.91902778299734,0.1717807999999934,Q1500,D205
SD205Q1500_8,SD205Q1500,0.9174412036531168,0.17778099999999597,Q1500,D205
SD205Q1500_9,SD205Q1500,0.9131503208481784,0.18157119999999338,Q1500,D205
SD205Q500_0,SD205Q500,0.927326063961122,0.18744260000001134,Q500,D205
SD205Q500_1,SD205Q500,0.925819222954719,0.17905790000000366,Q500,D205
SD205Q500_2,SD205Q500,0.9224678198664006,0.17355839999999034,Q500,D205
SD205Q500_3,SD205Q500,0.9228097027054039,0.17850769999999727,Q500,D205
SD205Q500_4,SD205Q500,0.9290757324877856,0.16439939999999353,Q500,D205
SD205Q500_5,SD205Q500,0.9280482892399791,0.16439370000000508,Q500,D205
SD205Q500_6,SD205Q500,0.9252189681279679,0.16922859999999673,Q500,D205
SD205Q500_7,SD205Q500,0.9258540968465728,0.17844060000000184,Q500,D205
SD205Q500_8,SD205Q500,0.9255984605783706,0.1802914999999956,Q500,D205
SD205Q500_9,SD205Q500,0.9244631331517363,0.16692860000000564,Q500,D205
SD305Q1000_0,SD305Q1000,,0.015576299999992216,Q1000,D305
SD305Q1000_1,SD305Q1000,,0.015705900000000383,Q1000,D305
SD305Q1000_2,SD305Q1000,,0.016723399999989397,Q1000,D305
SD305Q1000_3,SD305Q1000,,0.01523590000002173,Q1000,D305
SD305Q1000_4,SD305Q1000,,0.014581100000015113,Q1000,D305
SD305Q1000_5,SD305Q1000,,0.015557800000010502,Q1000,D305
SD305Q1000_6,SD305Q1000,,0.020444500000024846,Q1000,D305
SD305Q1000_7,SD305Q1000,,0.020697699999999486,Q1000,D305
SD305Q1000_8,SD305Q1000,,0.014556800000008252,Q1000,D305
SD305Q1000_9,SD305Q1000,,0.016462799999999334,Q1000,D305
SD305Q100_0,SD305Q100,,0.014357199999977865,Q100,D305
SD305Q100_1,SD305Q100,,0.014388199999984863,Q100,D305
SD305Q100_2,SD305Q100,,0.016568899999981568,Q100,D305
SD305Q100_3,SD305Q100,,0.01823920000001067,Q100,D305
SD305Q100_4,SD305Q100,,0.015466700000018818,Q100,D305
SD305Q100_5,SD305Q100,,0.014965700000004745,Q100,D305
SD305Q100_6,SD305Q100,,0.018334600000002865,Q100,D305
SD305Q100_7,SD305Q100,,0.015668900000008534,Q100,D305
SD305Q100_8,SD305Q100,,0.018945999999999685,Q100,D305
SD305Q100_9,SD305Q100,,0.014674999999982674,Q100,D305
SD305Q10_0,SD305Q10,,0.01888510000000565,Q10,D305
SD305Q10_1,SD305Q10,,0.023659199999997327,Q10,D305
SD305Q10_2,SD305Q10,,0.017056600000017852,Q10,D305
SD305Q10_3,SD305Q10,,0.022597399999995105,Q10,D305
SD305Q10_4,SD305Q10,,0.024377600000008215,Q10,D305
SD305Q10_5,SD305Q10,,0.01547750000000292,Q10,D305
SD305Q10_6,SD305Q10,,0.019862499999987904,Q10,D305
SD305Q10_7,SD305Q10,,0.01882240000000479,Q10,D305
SD305Q10_8,SD305Q10,,0.015142400000001999,Q10,D305
SD305Q10_9,SD305Q10,,0.014776399999988143,Q10,D305
SD305Q1500_0,SD305Q1500,,0.01797229999999672,Q1500,D305
SD305Q1500_1,SD305Q1500,,0.017986700000022893,Q1500,D305
SD305Q1500_2,SD305Q1500,,0.018074400000017476,Q1500,D305
SD305Q1500_3,SD305Q1500,,0.018701399999997648,Q1500,D305
SD305Q1500_4,SD305Q1500,,0.015032700000006116,Q1500,D305
SD305Q1500_5,SD305Q1500,,0.016841900000002852,Q1500,D305
SD305Q1500_6,SD305Q1500,,0.01856750000001739,Q1500,D305
SD305Q1500_7,SD305Q1500,,0.015256499999992457,Q1500,D305
SD305Q1500_8,SD305Q1500,,0.015188099999988935,Q1500,D305
SD305Q1500_9,SD305Q1500,,0.0340644999999995,Q1500,D305
SD305Q500_0,SD305Q500,,0.016780100000005405,Q500,D305
SD305Q500_1,SD305Q500,,0.017765900000000556,Q500,D305
SD305Q500_2,SD305Q500,,0.016609500000015487,Q500,D305
SD305Q500_3,SD305Q500,,0.016465000000010832,Q500,D305
SD305Q500_4,SD305Q500,,0.01589340000001016,Q500,D305
SD305Q500_5,SD305Q500,,0.01667600000001812,Q500,D305
SD305Q500_6,SD305Q500,,0.0219440999999847,Q500,D305
SD305Q500_7,SD305Q500,,0.020220199999982924,Q500,D305
SD305Q500_8,SD305Q500,,0.023693900000012036,Q500,D305
SD305Q500_9,SD305Q500,,0.015690799999987348,Q500,D305
SD405Q1000_0,SD405Q1000,0.6861588233643539,0.13407580000000507,Q1000,D405
SD405Q1000_1,SD405Q1000,0.6992125868556842,0.12989179999999578,Q1000,D405
SD405Q1000_2,SD405Q1000,0.6847073716431124,0.12037240000000793,Q1000,D405
SD405Q1000_3,SD405Q1000,0.6925095236168796,0.13125279999999862,Q1000,D405
SD405Q1000_4,SD405Q1000,0.6921133253262147,0.1335753999999838,Q1000,D405
SD405Q1000_5,SD405Q1000,0.6997033204030081,0.12476159999999936,Q1000,D405
SD405Q1000_6,SD405Q1000,0.6941550969999744,0.1310493000000008,Q1000,D405
SD405Q1000_7,SD405Q1000,0.6899133582712775,0.12151590000001988,Q1000,D405
SD405Q1000_8,SD405Q1000,0.6848943298578501,0.14365380000000982,Q1000,D405
SD405Q1000_9,SD405Q1000,0.6902532074126232,0.15711730000001012,Q1000,D405
SD405Q100_0,SD405Q100,0.7525266373481659,0.12877679999999714,Q100,D405
SD405Q100_1,SD405Q100,0.767920658987471,0.14034459999999171,Q100,D405
SD405Q100_2,SD405Q100,0.7578568145741511,0.13609639999998535,Q100,D405
SD405Q100_3,SD405Q100,0.7609535910631702,0.1356691000000012,Q100,D405
SD405Q100_4,SD405Q100,0.7547031127749864,0.1212547000000086,Q100,D405
SD405Q100_5,SD405Q100,0.7612488546860857,0.13250199999998813,Q100,D405
SD405Q100_6,SD405Q100,0.7570790579551807,0.12540279999998916,Q100,D405
SD405Q100_7,SD405Q100,0.7550087090083913,0.12244330000001469,Q100,D405
SD405Q100_8,SD405Q100,0.7443741296290097,0.13346509999999512,Q100,D405
SD405Q100_9,SD405Q100,0.7497989112359941,0.12633819999999218,Q100,D405
SD405Q10_0,SD405Q10,0.2995214866312497,0.13682319999998072,Q10,D405
SD405Q10_1,SD405Q10,0.3051517840825638,0.14181490000001418,Q10,D405
SD405Q10_2,SD405Q10,0.29943071000685595,0.1395941000000107,Q10,D405
SD405Q10_3,SD405Q10,0.2988293846385896,0.15898559999999407,Q10,D405
SD405Q10_4,SD405Q10,0.3036232877928438,0.16672669999999812,Q10,D405
SD405Q10_5,SD405Q10,0.30001657446791263,0.14588109999999688,Q10,D405
SD405Q10_6,SD405Q10,0.30146637961379386,0.1472855000000095,Q10,D405
SD405Q10_7,SD405Q10,0.3000925346826388,0.1378263000000004,Q10,D405
SD405Q10_8,SD405Q10,0.30084930282165134,0.13684689999999478,Q10,D405
SD405Q10_9,SD405Q10,0.30344283037887976,0.14265219999998635,Q10,D405
SD405Q1500_0,SD405Q1500,0.7033099382005817,0.1520751000000189,Q1500,D405
SD405Q1500_1,SD405Q1500,0.7111641653058708,0.13578830000000153,Q1500,D405
SD405Q1500_2,SD405Q1500,0.7088098569531428,0.13036420000000248,Q1500,D405
SD405Q1500_3,SD405Q1500,0.7046791825830111,0.18791580000001318,Q1500,D405
SD405Q1500_4,SD405Q1500,0.7068757852147546,0.14226069999998003,Q1500,D405
SD405Q1500_5,SD405Q1500,0.7010848577013837,0.14932520000002114,Q1500,D405
SD405Q1500_6,SD405Q1500,0.7066826261501012,0.1387632999999937,Q1500,D405
SD405Q1500_7,SD405Q1500,0.7164411634434429,0.16712160000000154,Q1500,D405
SD405Q1500_8,SD405Q1500,0.7095297353682937,0.1470043000000203,Q1500,D405
SD405Q1500_9,SD405Q1500,0.7062636853188118,0.142140100000006,Q1500,D405
SD405Q500_0,SD405Q500,0.6934172126877288,0.12624589999998648,Q500,D405
SD405Q500_1,SD405Q500,0.6783437185359993,0.14382910000000493,Q500,D405
SD405Q500_2,SD405Q500,0.6748622485989038,0.14266359999999167,Q500,D405
SD405Q500_3,SD405Q500,0.6892386803391656,0.15301870000001827,Q500,D405
SD405Q500_4,SD405Q500,0.6939370445958802,0.1351757000000191,Q500,D405
SD405Q500_5,SD405Q500,0.682703094781925,0.1476735999999903,Q500,D405
SD405Q500_6,SD405Q500,0.6879314461449569,0.14143509999999537,Q500,D405
SD405Q500_7,SD405Q500,0.6750144569674797,0.12867360000001327,Q500,D405
SD405Q500_8,SD405Q500,0.6922902669486741,0.13453079999999318,Q500,D405
SD405Q500_9,SD405Q500,0.6894170536600307,0.13105170000000044,Q500,D405
