Dataset id,SDG,GMLogLikelihood,GMLogLikelihood_time,Quality,Original dataset
SD0Q1500_7,SD0Q1500,-29.438358685530957,1.5232284000000007,Q1500,D0
SD0Q1500_8,SD0Q1500,-29.595506825332762,1.5060610000000025,Q1500,D0
SD0Q1500_9,SD0Q1500,-29.037431458409532,1.413888,Q1500,D0
SD0Q500_0,SD0Q500,-28.490713678016263,1.744512599999993,Q500,D0
SD0Q500_1,SD0Q500,-28.616728135190215,1.4417518999999999,Q500,D0
SD0Q500_2,SD0Q500,-29.122479585957418,1.5194986999999998,Q500,D0
SD0Q500_3,SD0Q500,-28.323392499183843,1.4535820000000115,Q500,D0
SD0Q500_4,SD0Q500,-29.34982110602611,1.3476029999999923,Q500,D0
SD0Q500_5,SD0Q500,-28.88425120730204,1.4123690000000124,Q500,D0
SD0Q500_6,SD0Q500,-28.889235334025283,1.4057378999999912,Q500,D0
SD0Q500_7,SD0Q500,-29.03449708363814,1.4034984999999978,Q500,D0
SD0Q500_8,SD0Q500,-28.706362680664796,1.5020746999999943,Q500,D0
SD0Q500_9,SD0Q500,-28.82461384724183,1.4539489000000003,Q500,D0
SD1Q1000_0,SD1Q1000,-2.969680054027341,1.7969859999999898,Q1000,D1
SD1Q1000_1,SD1Q1000,-1.6157171142569453,1.9036862999999897,Q1000,D1
SD1Q1000_2,SD1Q1000,-1706.5735220135057,2.065007499999993,Q1000,D1
SD1Q1000_3,SD1Q1000,-3.7968016012845793,1.843447100000006,Q1000,D1
SD1Q1000_4,SD1Q1000,-2.512516341956216,1.9295280999999989,Q1000,D1
SD1Q1000_5,SD1Q1000,-1.878368293651054,1.9558217000000013,Q1000,D1
SD1Q1000_6,SD1Q1000,-2.2893947413188456,1.8011622000000074,Q1000,D1
SD1Q1000_7,SD1Q1000,-1.1633125635668977,1.7690893000000045,Q1000,D1
SD1Q1000_8,SD1Q1000,-2.4073778150529,1.7851235999999915,Q1000,D1
SD1Q1000_9,SD1Q1000,-3.145434523264852,1.990897600000011,Q1000,D1
SD1Q100_0,SD1Q100,-0.7916431424862549,1.846551699999992,Q100,D1
SD1Q100_1,SD1Q100,-1216.1362066127365,1.8444068000000016,Q100,D1
SD1Q100_2,SD1Q100,-2.772674559333911,1.9015828,Q100,D1
SD1Q100_3,SD1Q100,-3.810095814480876,1.9636054000000058,Q100,D1
SD1Q100_4,SD1Q100,-1.8512038425499557,1.8600793000000095,Q100,D1
SD1Q100_5,SD1Q100,-0.3236470195192647,1.9792281000000003,Q100,D1
SD1Q100_6,SD1Q100,-2058.354801556301,1.9473645000000062,Q100,D1
SD1Q100_7,SD1Q100,-1.4915916748936768,1.935627800000006,Q100,D1
SD1Q100_8,SD1Q100,-21.0084308696235,1.9295587000000012,Q100,D1
SD1Q100_9,SD1Q100,-5.363747592176675,1.9493499000000014,Q100,D1
SD1Q10_0,SD1Q10,-90.46616481830858,1.905101099999996,Q10,D1
SD1Q10_1,SD1Q10,-11110.295773765267,1.7740296000000058,Q10,D1
SD1Q10_2,SD1Q10,-6184.045108809308,1.8492901999999987,Q10,D1
SD1Q10_3,SD1Q10,-105309.5743502218,2.0310051999999956,Q10,D1
SD1Q10_4,SD1Q10,-19957.276479351607,1.9501335000000068,Q10,D1
SD1Q10_5,SD1Q10,-104118.78891487657,2.1364194000000083,Q10,D1
SD1Q10_6,SD1Q10,-7056.685789416276,2.0126946999999973,Q10,D1
SD1Q10_7,SD1Q10,-165083.73492266276,1.9360427000000016,Q10,D1
SD1Q10_8,SD1Q10,-507.77734736934946,2.073461299999991,Q10,D1
SD1Q10_9,SD1Q10,-94.30365931860979,2.0859418999999946,Q10,D1
SD1Q1500_0,SD1Q1500,-4.099185428311995,2.122222899999997,Q1500,D1
SD1Q1500_1,SD1Q1500,-3.9550890638683427,1.8839060999999901,Q1500,D1
SD1Q1500_2,SD1Q1500,-2.962878112757323,1.8522412000000088,Q1500,D1
SD1Q1500_3,SD1Q1500,-245.1632568734975,2.1468954000000053,Q1500,D1
SD1Q1500_4,SD1Q1500,-570.6694562382443,2.12840300000002,Q1500,D1
SD1Q1500_5,SD1Q1500,-4122.051157622636,2.0910365000000013,Q1500,D1
SD1Q1500_6,SD1Q1500,-3.9065349824730666,2.0309813000000076,Q1500,D1
SD1Q1500_7,SD1Q1500,-7.136641697838788,1.9042448999999806,Q1500,D1
SD1Q1500_8,SD1Q1500,-1501.9888085820712,2.1811834999999746,Q1500,D1
SD1Q1500_9,SD1Q1500,-167.3808110146086,1.9804048000000023,Q1500,D1
SD1Q500_0,SD1Q500,-194.12179380108876,2.035005099999978,Q500,D1
SD1Q500_1,SD1Q500,-9.612457937411357,1.989504199999999,Q500,D1
SD1Q500_2,SD1Q500,-9.024819444686502,2.0874364000000014,Q500,D1
SD1Q500_3,SD1Q500,-10.183524007189284,2.0908138000000065,Q500,D1
SD1Q500_4,SD1Q500,-25.4348983013046,2.1571551000000113,Q500,D1
SD1Q500_5,SD1Q500,-12181.977343960978,2.1182694999999967,Q500,D1
SD1Q500_6,SD1Q500,-1128.2416531278443,2.0014591999999993,Q500,D1
SD1Q500_7,SD1Q500,-379.5268159374952,2.0583290000000147,Q500,D1
SD1Q500_8,SD1Q500,-7.236920238058985,2.0763608000000033,Q500,D1
SD1Q500_9,SD1Q500,-6.698017832158105,2.0582655999999986,Q500,D1
SD205Q1000_0,SD205Q1000,-24.017762324568263,4.069387199999994,Q1000,D205
SD205Q1000_1,SD205Q1000,-24.226113076896596,3.896333800000008,Q1000,D205
SD205Q1000_2,SD205Q1000,-24.318066293453928,4.233258299999989,Q1000,D205
SD205Q1000_3,SD205Q1000,-23.9008996301495,4.044846300000017,Q1000,D205
SD205Q1000_4,SD205Q1000,-23.426206846571635,3.927472399999999,Q1000,D205
SD205Q1000_5,SD205Q1000,-22.904432842181222,4.050536999999991,Q1000,D205
SD205Q1000_6,SD205Q1000,-23.181959209653332,4.068258600000007,Q1000,D205
SD205Q1000_7,SD205Q1000,-22.07749553234524,3.884208099999995,Q1000,D205
SD205Q1000_8,SD205Q1000,-22.880298640755125,3.7506713999999874,Q1000,D205
SD205Q1000_9,SD205Q1000,-25.32494890650098,4.184781299999997,Q1000,D205
SD205Q100_0,SD205Q100,-21.541669836347783,4.439212400000002,Q100,D205
SD205Q100_1,SD205Q100,-24.142169835551353,4.543797000000012,Q100,D205
SD205Q100_2,SD205Q100,-23.27112374816572,4.190057700000011,Q100,D205
SD205Q100_3,SD205Q100,-23.361536347394022,4.225754499999994,Q100,D205
SD205Q100_4,SD205Q100,-23.559757034490286,4.029752099999996,Q100,D205
SD205Q100_5,SD205Q100,-22.79427036607015,4.019785200000001,Q100,D205
SD205Q100_6,SD205Q100,-22.0600078551026,4.13408849999999,Q100,D205
SD205Q100_7,SD205Q100,-22.93605478176787,4.239309600000013,Q100,D205
SD205Q100_8,SD205Q100,-23.024413987960134,4.357574999999997,Q100,D205
SD205Q100_9,SD205Q100,-22.45976608487091,4.962337399999967,Q100,D205
SD205Q10_0,SD205Q10,-34.84525803569295,4.0233233000000155,Q10,D205
SD205Q10_1,SD205Q10,-33.98968968416818,4.008216399999981,Q10,D205
SD205Q10_2,SD205Q10,-35.14080437268108,4.239373999999998,Q10,D205
SD205Q10_3,SD205Q10,-34.955025630516865,4.307096899999976,Q10,D205
SD205Q10_4,SD205Q10,-35.347664828236766,4.246380299999998,Q10,D205
SD205Q10_5,SD205Q10,-36.12092345494393,4.3088558000000035,Q10,D205
SD205Q10_6,SD205Q10,-34.3126560589485,3.709439400000008,Q10,D205
SD205Q10_7,SD205Q10,-34.160529685321315,4.127881100000025,Q10,D205
SD205Q10_8,SD205Q10,-36.287431357756354,4.1653279000000225,Q10,D205
SD205Q10_9,SD205Q10,-34.02419494893696,4.114224299999989,Q10,D205
SD205Q1500_0,SD205Q1500,-25.911213139615096,4.017425899999978,Q1500,D205
SD205Q1500_1,SD205Q1500,-27.18516087979518,4.398422099999948,Q1500,D205
SD205Q1500_2,SD205Q1500,-25.772363564495052,4.175624099999993,Q1500,D205
SD205Q1500_3,SD205Q1500,-26.80066036040128,4.188704900000005,Q1500,D205
SD205Q1500_4,SD205Q1500,-26.137891852735283,4.23365960000001,Q1500,D205
SD205Q1500_5,SD205Q1500,-25.471965612798666,3.9323416000000293,Q1500,D205
SD205Q1500_6,SD205Q1500,-27.680469295211577,3.8581947000000127,Q1500,D205
SD205Q1500_7,SD205Q1500,-25.248830466815125,4.18089040000001,Q1500,D205
SD205Q1500_8,SD205Q1500,-27.799814401199257,4.273977900000034,Q1500,D205
SD205Q1500_9,SD205Q1500,-27.72332633725264,4.058270100000016,Q1500,D205
SD205Q500_0,SD205Q500,-27.323980356679858,4.229898399999968,Q500,D205
SD205Q500_1,SD205Q500,-26.901198216424802,4.171801800000026,Q500,D205
SD205Q500_2,SD205Q500,-27.775952147910804,3.897913599999981,Q500,D205
SD205Q500_3,SD205Q500,-26.9996948771889,4.411127100000044,Q500,D205
SD205Q500_4,SD205Q500,-26.946174839019225,4.027848500000005,Q500,D205
SD205Q500_5,SD205Q500,-28.68533364139941,4.478266000000019,Q500,D205
SD205Q500_6,SD205Q500,-27.62409762002504,4.1060223000000065,Q500,D205
SD205Q500_7,SD205Q500,-29.170291766545276,4.309747700000003,Q500,D205
SD205Q500_8,SD205Q500,-28.381505733953727,4.348460499999987,Q500,D205
SD205Q500_9,SD205Q500,-27.19149196757422,4.02322989999999,Q500,D205
SD305Q1000_0,SD305Q1000,-67077416.78714337,32.91298330000001,Q1000,D305
SD305Q1000_1,SD305Q1000,-69749893.5364515,31.481055400000002,Q1000,D305
SD305Q1000_2,SD305Q1000,-82314988.8073698,31.14594010000002,Q1000,D305
SD305Q1000_3,SD305Q1000,-68593574.25255577,34.8320908,Q1000,D305
SD305Q1000_4,SD305Q1000,-54802548.20135788,37.640502300000094,Q1000,D305
SD305Q1000_5,SD305Q1000,-103510886.89208342,30.425133699999947,Q1000,D305
SD305Q1000_6,SD305Q1000,-74798487.78320438,31.830521499999918,Q1000,D305
SD305Q1000_7,SD305Q1000,-58065248.47484214,38.61025840000002,Q1000,D305
SD305Q1000_8,SD305Q1000,-82803469.87121958,36.298631500000056,Q1000,D305
SD305Q1000_9,SD305Q1000,-105721368.50376876,36.69244219999996,Q1000,D305
SD305Q100_0,SD305Q100,-78723607.11591217,32.47501270000009,Q100,D305
SD305Q100_1,SD305Q100,-212832349.95426705,33.2263142999999,Q100,D305
SD305Q100_2,SD305Q100,-862645114.0612618,34.501706799999965,Q100,D305
SD305Q100_3,SD305Q100,-119853086.20121486,46.30951470000002,Q100,D305
SD305Q100_4,SD305Q100,-293910181.9695003,42.40661179999995,Q100,D305
SD305Q100_5,SD305Q100,-105383851.17913465,40.77121360000001,Q100,D305
SD305Q100_6,SD305Q100,-129592469.8872525,44.81715129999998,Q100,D305
SD305Q100_7,SD305Q100,-108447613.93449712,46.410745399999996,Q100,D305
SD305Q100_8,SD305Q100,-144393212.65707412,55.522539699999925,Q100,D305
SD305Q100_9,SD305Q100,-198265973.4170972,41.4990478000002,Q100,D305
SD305Q10_0,SD305Q10,1519.015739475779,44.61542020000002,Q10,D305
SD305Q10_1,SD305Q10,1571.4488539173954,43.18834160000006,Q10,D305
SD305Q10_2,SD305Q10,1513.0510046053632,43.41027320000012,Q10,D305
SD305Q10_3,SD305Q10,1511.5731360772322,40.67414429999985,Q10,D305
SD305Q10_4,SD305Q10,1581.5508591684768,40.25462330000005,Q10,D305
SD305Q10_5,SD305Q10,1483.8523774179557,39.65571399999999,Q10,D305
SD305Q10_6,SD305Q10,1648.1245594025877,39.109974100000045,Q10,D305
SD305Q10_7,SD305Q10,1650.0635687206632,41.29500669999993,Q10,D305
SD305Q10_8,SD305Q10,1527.0622573579137,40.130918400000155,Q10,D305
SD305Q10_9,SD305Q10,1623.5257051264941,39.90499410000007,Q10,D305
SD305Q1500_0,SD305Q1500,-413711509.7034755,38.058455200000026,Q1500,D305
SD305Q1500_1,SD305Q1500,-462367279.4082268,41.286476900000025,Q1500,D305
SD305Q1500_2,SD305Q1500,-478511076.09518194,41.83760129999996,Q1500,D305
SD305Q1500_3,SD305Q1500,-580916870.3902571,38.38436139999999,Q1500,D305
SD305Q1500_4,SD305Q1500,-543008590.8500314,38.222387000000026,Q1500,D305
SD305Q1500_5,SD305Q1500,-478814499.7261098,37.50549160000014,Q1500,D305
SD305Q1500_6,SD305Q1500,-500070247.833376,37.81115389999991,Q1500,D305
SD305Q1500_7,SD305Q1500,-469742082.44306976,40.74145720000001,Q1500,D305
SD305Q1500_8,SD305Q1500,-408478151.3983824,43.26400110000009,Q1500,D305
SD305Q1500_9,SD305Q1500,-451641945.7384793,43.79586549999999,Q1500,D305
SD305Q500_0,SD305Q500,-1300702371.9736898,38.57560360000002,Q500,D305
SD305Q500_1,SD305Q500,-1312128695.0050805,39.99046049999993,Q500,D305
SD305Q500_2,SD305Q500,-1631220659.968826,39.562117599999965,Q500,D305
SD305Q500_3,SD305Q500,-1496372002.6350555,40.48810670000012,Q500,D305
SD305Q500_4,SD305Q500,-1261853823.16889,39.98860309999964,Q500,D305
SD305Q500_5,SD305Q500,-1815101593.1529567,38.46062810000012,Q500,D305
SD305Q500_6,SD305Q500,-1866218261.2504046,37.75340300000016,Q500,D305
SD305Q500_7,SD305Q500,-1999413049.9458396,38.68539580000015,Q500,D305
SD305Q500_8,SD305Q500,-1302945098.2815368,40.82550870000023,Q500,D305
SD305Q500_9,SD305Q500,-1227462833.2599428,39.51897860000008,Q500,D305
SD405Q1000_0,SD405Q1000,-25875991187.62778,3.796059400000104,Q1000,D405
SD405Q1000_1,SD405Q1000,-17486198616.30809,3.465372600000137,Q1000,D405
SD405Q1000_2,SD405Q1000,-10095324889.565699,3.8809353999999985,Q1000,D405
SD405Q1000_3,SD405Q1000,-18844528781.489773,3.8425192000004245,Q1000,D405
SD405Q1000_4,SD405Q1000,-17608871329.6496,3.6711676999998417,Q1000,D405
SD405Q1000_5,SD405Q1000,-21653991629.66901,3.4524412000000666,Q1000,D405
SD405Q1000_6,SD405Q1000,-14234070355.271828,3.6522577999999157,Q1000,D405
SD405Q1000_7,SD405Q1000,-15168980574.705559,3.9720980000001873,Q1000,D405
SD405Q1000_8,SD405Q1000,-14652015516.19285,3.4965437999999267,Q1000,D405
SD405Q1000_9,SD405Q1000,-19775753020.338947,3.6527173999998013,Q1000,D405
SD405Q100_0,SD405Q100,-690483667.6288923,3.2992277999996986,Q100,D405
SD405Q100_1,SD405Q100,-3644894109.1860995,3.7612559000003785,Q100,D405
SD405Q100_2,SD405Q100,-942740415.3540157,3.8685350000000653,Q100,D405
SD405Q100_3,SD405Q100,-80193087.66650939,3.7274685000002137,Q100,D405
SD405Q100_4,SD405Q100,-1744385926.227887,3.657137899999725,Q100,D405
SD405Q100_5,SD405Q100,-999853196.1732616,3.266200300000037,Q100,D405
SD405Q100_6,SD405Q100,-199296363.9312729,4.099986799999897,Q100,D405
SD405Q100_7,SD405Q100,-91432362.72533883,3.1369346999999834,Q100,D405
SD405Q100_8,SD405Q100,-634380839.908409,3.7238859999997658,Q100,D405
SD405Q100_9,SD405Q100,-133733115.70686398,3.954121899999791,Q100,D405
SD405Q10_0,SD405Q10,-113729571686.93651,3.443323700000292,Q10,D405
SD405Q10_1,SD405Q10,-102151651960.73132,3.6279294999999365,Q10,D405
SD405Q10_2,SD405Q10,-88586822461.27473,3.5520621999999094,Q10,D405
SD405Q10_3,SD405Q10,-84885881063.9822,3.61529819999987,Q10,D405
SD405Q10_4,SD405Q10,-88653420207.37581,3.4181660999997803,Q10,D405
SD405Q10_5,SD405Q10,-106534017288.04774,3.5594676999999137,Q10,D405
SD405Q10_6,SD405Q10,-99705309855.08455,3.8605183000004217,Q10,D405
SD405Q10_7,SD405Q10,-93097589819.13255,3.3655886000001374,Q10,D405
SD405Q10_8,SD405Q10,-98866663241.96004,3.805909900000188,Q10,D405
SD405Q10_9,SD405Q10,-112354413131.39534,3.614804300000287,Q10,D405
SD405Q1500_0,SD405Q1500,-28068206352.96385,3.5713654000001043,Q1500,D405
SD405Q1500_1,SD405Q1500,-23823492952.51176,3.760163299999931,Q1500,D405
SD405Q1500_2,SD405Q1500,-21220789502.310593,3.2356948999999986,Q1500,D405
SD405Q1500_3,SD405Q1500,-27446243947.497696,3.798011299999871,Q1500,D405
SD405Q1500_4,SD405Q1500,-19920517056.826946,3.7309714999996686,Q1500,D405
SD405Q1500_5,SD405Q1500,-38968692863.721405,3.715200399999958,Q1500,D405
SD405Q1500_6,SD405Q1500,-25589270705.78269,3.4001985999998396,Q1500,D405
SD405Q1500_7,SD405Q1500,-20151746822.883316,3.48249369999985,Q1500,D405
SD405Q1500_8,SD405Q1500,-28980140232.481293,3.809568399999989,Q1500,D405
SD405Q1500_9,SD405Q1500,-29916256332.195454,3.7251163000000815,Q1500,D405
SD405Q500_0,SD405Q500,-23097688886.852596,3.461621699999796,Q500,D405
SD405Q500_1,SD405Q500,-13118361154.328154,3.5832390000000487,Q500,D405
SD405Q500_2,SD405Q500,-19589434574.02089,3.6270872999998574,Q500,D405
SD405Q500_3,SD405Q500,-18577363367.51319,3.5511639999999716,Q500,D405
SD405Q500_4,SD405Q500,-19904999811.250942,3.7114690000003066,Q500,D405
SD405Q500_5,SD405Q500,-16076470619.763681,3.726125200000297,Q500,D405
SD405Q500_6,SD405Q500,-18162500694.55447,3.6866590999998152,Q500,D405
SD405Q500_7,SD405Q500,-5904483668.253265,3.5062315000000126,Q500,D405
SD405Q500_8,SD405Q500,-10356834396.855276,3.7884303000000727,Q500,D405
SD405Q500_9,SD405Q500,-19200490306.203083,3.9209670000000187,Q500,D405
