Dataset id,SDG,pMSE,pMSE_time,Quality,Original dataset
SD0Q500_0,SD0Q500,0.032847990008634025,0.010308499999993614,Q500,D0
SD0Q500_1,SD0Q500,0.038574597608469166,0.01283330000001115,Q500,D0
SD0Q500_2,SD0Q500,0.026750298530112827,0.010024800000010714,Q500,D0
SD0Q500_3,SD0Q500,0.03879992737318562,0.010712200000000394,Q500,D0
SD0Q500_4,SD0Q500,0.03231595606773033,0.010507400000008715,Q500,D0
SD0Q500_5,SD0Q500,0.02981103861840413,0.009272400000000403,Q500,D0
SD0Q500_6,SD0Q500,0.03179077822469936,0.011603500000006761,Q500,D0
SD0Q500_7,SD0Q500,0.030201567746902972,0.009392599999998197,Q500,D0
SD0Q500_8,SD0Q500,0.03466674754251044,0.010944300000005569,Q500,D0
SD0Q500_9,SD0Q500,0.03015763414168032,0.010809899999998152,Q500,D0
SD1Q1000_0,SD1Q1000,0.019523099301731402,0.037816699999993375,Q1000,D1
SD1Q1000_1,SD1Q1000,0.020789856438706473,0.03650919999999758,Q1000,D1
SD1Q1000_2,SD1Q1000,0.01858876970707552,0.03946449999999402,Q1000,D1
SD1Q1000_3,SD1Q1000,0.010140696020031887,0.035801399999996875,Q1000,D1
SD1Q1000_4,SD1Q1000,0.011798860287702884,0.03766260000000443,Q1000,D1
SD1Q1000_5,SD1Q1000,0.014264867498431668,0.03326110000000426,Q1000,D1
SD1Q1000_6,SD1Q1000,0.023482933568369137,0.03727159999999685,Q1000,D1
SD1Q1000_7,SD1Q1000,0.014600119096857907,0.03765269999999532,Q1000,D1
SD1Q1000_8,SD1Q1000,0.01879947906223495,0.03592220000000168,Q1000,D1
SD1Q1000_9,SD1Q1000,0.01650288556293263,0.03526639999999759,Q1000,D1
SD1Q100_0,SD1Q100,0.024060696472272606,0.03561429999999177,Q100,D1
SD1Q100_1,SD1Q100,0.02979455248749642,0.03371079999999438,Q100,D1
SD1Q100_2,SD1Q100,0.02782172203073235,0.032723799999999414,Q100,D1
SD1Q100_3,SD1Q100,0.03446669863504408,0.03553250000000219,Q100,D1
SD1Q100_4,SD1Q100,0.027178879312752712,0.03311070000000882,Q100,D1
SD1Q100_5,SD1Q100,0.02968974572283461,0.03562730000000158,Q100,D1
SD1Q100_6,SD1Q100,0.03484702190647483,0.032997600000001626,Q100,D1
SD1Q100_7,SD1Q100,0.021756882462585482,0.03450370000000191,Q100,D1
SD1Q100_8,SD1Q100,0.024372282212018807,0.038847900000007485,Q100,D1
SD1Q100_9,SD1Q100,0.020865071314657382,0.039221400000002404,Q100,D1
SD1Q10_0,SD1Q10,0.1731879191362974,0.03287010000001089,Q10,D1
SD1Q10_1,SD1Q10,0.17528444065321352,0.031941500000002065,Q10,D1
SD1Q10_2,SD1Q10,0.16692535829137398,0.030747300000001587,Q10,D1
SD1Q10_3,SD1Q10,0.17176155916349728,0.030758300000002237,Q10,D1
SD1Q10_4,SD1Q10,0.16240846332456702,0.0299839999999989,Q10,D1
SD1Q10_5,SD1Q10,0.16592863400707195,0.025921300000007363,Q10,D1
SD1Q10_6,SD1Q10,0.1725965920097837,0.031627000000000294,Q10,D1
SD1Q10_7,SD1Q10,0.16365009817897644,0.027627600000002417,Q10,D1
SD1Q10_8,SD1Q10,0.1700966854055874,0.025966299999993225,Q10,D1
SD1Q10_9,SD1Q10,0.17073168089531734,0.027195300000002476,Q10,D1
SD1Q1500_0,SD1Q1500,0.009440144061346994,0.03217719999999247,Q1500,D1
SD1Q1500_1,SD1Q1500,0.00823053859295164,0.03467879999999468,Q1500,D1
SD1Q1500_2,SD1Q1500,0.010540767858668748,0.034388199999995095,Q1500,D1
SD1Q1500_3,SD1Q1500,0.011578035293197895,0.03573369999999443,Q1500,D1
SD1Q1500_4,SD1Q1500,0.008086642108409894,0.03924499999999398,Q1500,D1
SD1Q1500_5,SD1Q1500,0.006778863413165608,0.03462059999999667,Q1500,D1
SD1Q1500_6,SD1Q1500,0.008580111738244378,0.035625099999990084,Q1500,D1
SD1Q1500_7,SD1Q1500,0.009764891801530114,0.03415180000000362,Q1500,D1
SD1Q1500_8,SD1Q1500,0.00954688824590298,0.032223999999999364,Q1500,D1
SD1Q1500_9,SD1Q1500,0.012357363346238891,0.03560150000001272,Q1500,D1
SD1Q500_0,SD1Q500,0.043790073634445745,0.030851999999995883,Q500,D1
SD1Q500_1,SD1Q500,0.05002226313657514,0.032335299999999734,Q500,D1
SD1Q500_2,SD1Q500,0.0504189436025153,0.034958299999999554,Q500,D1
SD1Q500_3,SD1Q500,0.042747015929053514,0.033284300000005373,Q500,D1
SD1Q500_4,SD1Q500,0.050946678011064735,0.0382819000000012,Q500,D1
SD1Q500_5,SD1Q500,0.053614762639503474,0.03620959999999229,Q500,D1
SD1Q500_6,SD1Q500,0.0426420511109377,0.041062100000004875,Q500,D1
SD1Q500_7,SD1Q500,0.03799076005763845,0.0317641999999978,Q500,D1
SD1Q500_8,SD1Q500,0.04446423364437431,0.032454299999997716,Q500,D1
SD1Q500_9,SD1Q500,0.05486179227534307,0.03078890000000456,Q500,D1
SD205Q1000_0,SD205Q1000,0.013264061425314281,0.07228519999999605,Q1000,D205
SD205Q1000_1,SD205Q1000,0.015249072525571358,0.05429930000001093,Q1000,D205
SD205Q1000_2,SD205Q1000,0.015708300996602774,0.07047759999998959,Q1000,D205
SD205Q1000_3,SD205Q1000,0.017223279834040067,0.07087789999999927,Q1000,D205
SD205Q1000_4,SD205Q1000,0.016907541651186846,0.07838290000000825,Q1000,D205
SD205Q1000_5,SD205Q1000,0.01642893719427833,0.06173090000000059,Q1000,D205
SD205Q1000_6,SD205Q1000,0.017111071477212657,0.06669119999999396,Q1000,D205
SD205Q1000_7,SD205Q1000,0.015355299570319857,0.06243029999998839,Q1000,D205
SD205Q1000_8,SD205Q1000,0.01632594278150655,0.04963450000001046,Q1000,D205
SD205Q1000_9,SD205Q1000,0.014980946637862742,0.05031390000000613,Q1000,D205
SD205Q100_0,SD205Q100,0.025938140977804964,0.06178740000000005,Q100,D205
SD205Q100_1,SD205Q100,0.016149122452127327,0.05622239999999579,Q100,D205
SD205Q100_2,SD205Q100,0.022235000004368642,0.09218310000001395,Q100,D205
SD205Q100_3,SD205Q100,0.01725430386893627,0.07161299999999926,Q100,D205
SD205Q100_4,SD205Q100,0.016713694823349466,0.06408790000000408,Q100,D205
SD205Q100_5,SD205Q100,0.017119261835600745,0.08418840000000216,Q100,D205
SD205Q100_6,SD205Q100,0.015255655606939145,0.07168250000000853,Q100,D205
SD205Q100_7,SD205Q100,0.01939780430736759,0.06921749999999349,Q100,D205
SD205Q100_8,SD205Q100,0.01898137934357459,0.0722138000000001,Q100,D205
SD205Q100_9,SD205Q100,0.01795057895842985,0.06507190000000662,Q100,D205
SD205Q10_0,SD205Q10,0.09914822470680346,0.06231839999999522,Q10,D205
SD205Q10_1,SD205Q10,0.10239393184347333,0.0587778999999955,Q10,D205
SD205Q10_2,SD205Q10,0.10927848182695088,0.06588250000000073,Q10,D205
SD205Q10_3,SD205Q10,0.10570920293806334,0.06343020000001331,Q10,D205
SD205Q10_4,SD205Q10,0.10801093114932474,0.0688593999999938,Q10,D205
SD205Q10_5,SD205Q10,0.10487679054668418,0.05346310000000187,Q10,D205
SD205Q10_6,SD205Q10,0.1019779951028088,0.06387939999999048,Q10,D205
SD205Q10_7,SD205Q10,0.10441047551091084,0.06325920000000451,Q10,D205
SD205Q10_8,SD205Q10,0.10400375432136226,0.06988520000000165,Q10,D205
SD205Q10_9,SD205Q10,0.10485543049007641,0.06461819999999818,Q10,D205
SD205Q1500_0,SD205Q1500,0.023541292604752812,0.08392000000000621,Q1500,D205
SD205Q1500_1,SD205Q1500,0.020366538503045678,0.07971050000000446,Q1500,D205
SD205Q1500_2,SD205Q1500,0.021328551828714935,0.08246989999999244,Q1500,D205
SD205Q1500_3,SD205Q1500,0.021082608503494225,0.07312110000000871,Q1500,D205
SD205Q1500_4,SD205Q1500,0.018353172409707234,0.08005869999999504,Q1500,D205
SD205Q1500_5,SD205Q1500,0.020671693590671766,0.06793240000000367,Q1500,D205
SD205Q1500_6,SD205Q1500,0.019475451317367203,0.07125639999999578,Q1500,D205
SD205Q1500_7,SD205Q1500,0.017268492160833336,0.08055160000000683,Q1500,D205
SD205Q1500_8,SD205Q1500,0.019487856567433296,0.0686745000000002,Q1500,D205
SD205Q1500_9,SD205Q1500,0.020821286158468004,0.0727143999999953,Q1500,D205
SD205Q500_0,SD205Q500,0.013744554253173037,0.07155559999999639,Q500,D205
SD205Q500_1,SD205Q500,0.013943704458671538,0.07150060000000735,Q500,D205
SD205Q500_2,SD205Q500,0.012544469426128364,0.07362549999999146,Q500,D205
SD205Q500_3,SD205Q500,0.01228163057841942,0.09320710000000076,Q500,D205
SD205Q500_4,SD205Q500,0.012363675034896198,0.08293820000000096,Q500,D205
SD205Q500_5,SD205Q500,0.01213176633006422,0.06861299999999915,Q500,D205
SD205Q500_6,SD205Q500,0.015770012598032086,0.07023000000000934,Q500,D205
SD205Q500_7,SD205Q500,0.012668627134580652,0.08774970000000337,Q500,D205
SD205Q500_8,SD205Q500,0.011604456306766263,0.08843060000000946,Q500,D205
SD205Q500_9,SD205Q500,0.011766457646203038,0.07088720000000137,Q500,D205
SD305Q1000_0,SD305Q1000,0.10416774753702254,0.9969526999999943,Q1000,D305
SD305Q1000_1,SD305Q1000,0.10853058063564698,0.9164243999999968,Q1000,D305
SD305Q1000_2,SD305Q1000,0.10917568061627418,1.0018963999999926,Q1000,D305
SD305Q1000_3,SD305Q1000,0.10874820891739703,0.9841155999999955,Q1000,D305
SD305Q1000_4,SD305Q1000,0.11020246047473638,1.0091120999999958,Q1000,D305
SD305Q1000_5,SD305Q1000,0.10828779956357622,0.9535601999999841,Q1000,D305
SD305Q1000_6,SD305Q1000,0.10616162121279274,1.0280046999999968,Q1000,D305
SD305Q1000_7,SD305Q1000,0.09985982366453022,0.9445958000000019,Q1000,D305
SD305Q1000_8,SD305Q1000,0.10734434486105424,0.9051993999999866,Q1000,D305
SD305Q1000_9,SD305Q1000,0.10439483162093827,1.0665526999999884,Q1000,D305
SD305Q100_0,SD305Q100,0.23354170535369315,0.8519766999999945,Q100,D305
SD305Q100_1,SD305Q100,0.2336446230898783,0.9361068999999986,Q100,D305
SD305Q100_2,SD305Q100,0.23348593916187385,0.9101654999999766,Q100,D305
SD305Q100_3,SD305Q100,0.23363615487118558,0.8914393999999959,Q100,D305
SD305Q100_4,SD305Q100,0.23511721468656388,1.0461548000000107,Q100,D305
SD305Q100_5,SD305Q100,0.23308013510067802,0.9332519000000161,Q100,D305
SD305Q100_6,SD305Q100,0.2336695587694156,0.9228040999999791,Q100,D305
SD305Q100_7,SD305Q100,0.2338712649297656,0.8986522999999806,Q100,D305
SD305Q100_8,SD305Q100,0.235215228536329,0.879661700000014,Q100,D305
SD305Q100_9,SD305Q100,0.237415545963468,0.9381366000000071,Q100,D305
SD305Q10_0,SD305Q10,0.24974825601173464,0.6332878000000051,Q10,D305
SD305Q10_1,SD305Q10,0.24987251968506366,0.6367910999999822,Q10,D305
SD305Q10_2,SD305Q10,0.24976347756022582,0.6966822000000263,Q10,D305
SD305Q10_3,SD305Q10,0.24976345205836764,0.6595445000000097,Q10,D305
SD305Q10_4,SD305Q10,0.24973871075220516,0.6993762999999831,Q10,D305
SD305Q10_5,SD305Q10,0.24976738685032662,0.6460122999999953,Q10,D305
SD305Q10_6,SD305Q10,0.2497177016796869,0.6245361999999943,Q10,D305
SD305Q10_7,SD305Q10,0.24981606709443727,0.7015638000000024,Q10,D305
SD305Q10_8,SD305Q10,0.24975393474110433,0.6707718000000114,Q10,D305
SD305Q10_9,SD305Q10,0.24984001644174766,0.6615302000000156,Q10,D305
SD305Q1500_0,SD305Q1500,0.10721373967302374,1.0671847000000128,Q1500,D305
SD305Q1500_1,SD305Q1500,0.1058658147123511,0.9903388999999834,Q1500,D305
SD305Q1500_2,SD305Q1500,0.10742504961797589,1.0008622000000003,Q1500,D305
SD305Q1500_3,SD305Q1500,0.10397215925789555,0.9656061999999963,Q1500,D305
SD305Q1500_4,SD305Q1500,0.10885338071876607,0.9616102999999896,Q1500,D305
SD305Q1500_5,SD305Q1500,0.10552747600911518,1.029857899999996,Q1500,D305
SD305Q1500_6,SD305Q1500,0.10894353709678535,0.9427346999999884,Q1500,D305
SD305Q1500_7,SD305Q1500,0.1069096184622699,1.0446005999999954,Q1500,D305
SD305Q1500_8,SD305Q1500,0.10968218873815865,0.9770104000000117,Q1500,D305
SD305Q1500_9,SD305Q1500,0.10330974346221265,0.9878102999999783,Q1500,D305
SD305Q500_0,SD305Q500,0.21452161228478375,1.0313934000000131,Q500,D305
SD305Q500_1,SD305Q500,0.20555477115379212,1.0779879000000108,Q500,D305
SD305Q500_2,SD305Q500,0.2012435078777986,0.9740426000000184,Q500,D305
SD305Q500_3,SD305Q500,0.20991548397457102,1.043364600000018,Q500,D305
SD305Q500_4,SD305Q500,0.20393388224337167,1.0153573999999992,Q500,D305
SD305Q500_5,SD305Q500,0.2087323293597468,0.9884323999999935,Q500,D305
SD305Q500_6,SD305Q500,0.20704349724645327,1.0203821000000062,Q500,D305
SD305Q500_7,SD305Q500,0.20922395543381497,1.0016516999999965,Q500,D305
SD305Q500_8,SD305Q500,0.20142276124784064,1.06249600000001,Q500,D305
SD305Q500_9,SD305Q500,0.20782163860853176,1.009907499999997,Q500,D305
SD405Q1000_0,SD405Q1000,0.02824282041037373,0.17343230000000176,Q1000,D405
SD405Q1000_1,SD405Q1000,0.024738679562210552,0.1602515000000153,Q1000,D405
SD405Q1000_2,SD405Q1000,0.030249866630923276,0.15420549999998912,Q1000,D405
SD405Q1000_3,SD405Q1000,0.0302634560937034,0.15961550000000102,Q1000,D405
SD405Q1000_4,SD405Q1000,0.028651648908177563,0.1567438000000152,Q1000,D405
SD405Q1000_5,SD405Q1000,0.025758263922018253,0.16193659999999,Q1000,D405
SD405Q1000_6,SD405Q1000,0.03180213778392235,0.15488229999999703,Q1000,D405
SD405Q1000_7,SD405Q1000,0.02854961825076702,0.15319470000000024,Q1000,D405
SD405Q1000_8,SD405Q1000,0.02977404717108769,0.15522820000001047,Q1000,D405
SD405Q1000_9,SD405Q1000,0.03169137223157907,0.2054275000000132,Q1000,D405
SD405Q100_0,SD405Q100,0.02780065934597737,0.16608890000000542,Q100,D405
SD405Q100_1,SD405Q100,0.02828891347774699,0.16890840000002072,Q100,D405
SD405Q100_2,SD405Q100,0.030416315291528696,0.14544769999997698,Q100,D405
SD405Q100_3,SD405Q100,0.030066541034270595,0.15520970000000034,Q100,D405
SD405Q100_4,SD405Q100,0.028898319629354866,0.15813700000001063,Q100,D405
SD405Q100_5,SD405Q100,0.032296105715542145,0.15566590000000247,Q100,D405
SD405Q100_6,SD405Q100,0.02571523044937719,0.15563810000000444,Q100,D405
SD405Q100_7,SD405Q100,0.029883403173013235,0.15903169999998568,Q100,D405
SD405Q100_8,SD405Q100,0.027048283965398216,0.1447831999999778,Q100,D405
SD405Q100_9,SD405Q100,0.027219106144150212,0.14998919999999316,Q100,D405
SD405Q10_0,SD405Q10,0.22276831984767606,0.08566559999999868,Q10,D405
SD405Q10_1,SD405Q10,0.21757979560248447,0.07238100000000713,Q10,D405
SD405Q10_2,SD405Q10,0.22095449384111474,0.09914059999999836,Q10,D405
SD405Q10_3,SD405Q10,0.2206088681305592,0.09144999999998049,Q10,D405
SD405Q10_4,SD405Q10,0.22035380501754523,0.12308040000002052,Q10,D405
SD405Q10_5,SD405Q10,0.2187971654510145,0.09443160000000717,Q10,D405
SD405Q10_6,SD405Q10,0.21920804457978954,0.12065949999998793,Q10,D405
SD405Q10_7,SD405Q10,0.21802093442650133,0.08278509999999528,Q10,D405
SD405Q10_8,SD405Q10,0.21843062806156568,0.11088410000002114,Q10,D405
SD405Q10_9,SD405Q10,0.22059344094499606,0.11207259999997632,Q10,D405
SD405Q1500_0,SD405Q1500,0.02309132812166911,0.1454702999999995,Q1500,D405
SD405Q1500_1,SD405Q1500,0.026535799918580225,0.15611200000000736,Q1500,D405
SD405Q1500_2,SD405Q1500,0.023824648232690666,0.14743340000001126,Q1500,D405
SD405Q1500_3,SD405Q1500,0.023289617895122714,0.16085019999999872,Q1500,D405
SD405Q1500_4,SD405Q1500,0.025342647346281694,0.1930748000000051,Q1500,D405
SD405Q1500_5,SD405Q1500,0.02827199526746061,0.15528720000000362,Q1500,D405
SD405Q1500_6,SD405Q1500,0.02338498492488008,0.14323730000000978,Q1500,D405
SD405Q1500_7,SD405Q1500,0.026086502883220012,0.14736619999999334,Q1500,D405
SD405Q1500_8,SD405Q1500,0.028630303981595315,0.1527099999999848,Q1500,D405
SD405Q1500_9,SD405Q1500,0.02544955453725406,0.19652170000000524,Q1500,D405
SD405Q500_0,SD405Q500,0.029081764511060294,0.15650719999999296,Q500,D405
SD405Q500_1,SD405Q500,0.028672833294516937,0.15609129999998572,Q500,D405
SD405Q500_2,SD405Q500,0.031028558180908845,0.14528730000000678,Q500,D405
SD405Q500_3,SD405Q500,0.02879029615213684,0.15369029999999384,Q500,D405
SD405Q500_4,SD405Q500,0.02782696843279302,0.15429780000002324,Q500,D405
SD405Q500_5,SD405Q500,0.027960703989327634,0.158070500000008,Q500,D405
SD405Q500_6,SD405Q500,0.02946080484182246,0.14836639999998624,Q500,D405
SD405Q500_7,SD405Q500,0.03280417920615882,0.14792009999999323,Q500,D405
SD405Q500_8,SD405Q500,0.02843123513286873,0.15298119999999926,Q500,D405
SD405Q500_9,SD405Q500,0.029206948552205885,0.19122509999999693,Q500,D405
